epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,172.899,1.00587,2.11788,1.41702,0.65603,0.68707,0.70918,0.47302,1.68855,1.54279,1.39412,2.82082e-05,2.82082e-05,2.82082e-05
40,178.386,1.03997,1.14055,1.45008,0.65603,0.68707,0.70918,0.47302,1.68855,1.54279,1.39412,2.84911e-05,2.84911e-05,2.84911e-05
41,183.002,0.78845,1.228,1.15312,0.64939,0.7,0.69962,0.48197,1.68957,1.59746,1.39338,2.87504e-05,2.87504e-05,2.87504e-05
42,188.474,0.91434,1.29358,1.29821,0.64939,0.7,0.69962,0.48197,1.68957,1.59746,1.39338,2.89861e-05,2.89861e-05,2.89861e-05
43,198.699,0.52485,2.46415,1.10705,0.56964,0.5166,0.58479,0.36817,1.70353,1.66792,1.3942,2.91983e-05,2.91983e-05,2.91983e-05
44,204.231,0.92176,1.06076,1.27045,0.56964,0.5166,0.58479,0.36817,1.70353,1.66792,1.3942,2.93869e-05,2.93869e-05,2.93869e-05
45,212.047,0.65357,0.89453,1.15726,0.59495,0.48333,0.52793,0.30225,1.70832,1.73812,1.39769,2.9552e-05,2.9552e-05,2.9552e-05
46,216.986,0.94097,1.26198,1.43832,0.59495,0.48333,0.52793,0.30225,1.70832,1.73812,1.39769,2.96935e-05,2.96935e-05,2.96935e-05
47,222.26,0.84397,0.85303,1.12211,0.58411,0.48333,0.52732,0.31113,1.72331,1.75628,1.41224,2.98114e-05,2.98114e-05,2.98114e-05
48,226.876,0.73389,1.07171,1.13216,0.58411,0.48333,0.52732,0.31113,1.72331,1.75628,1.41224,2.99058e-05,2.99058e-05,2.99058e-05
49,232.072,0.92377,1.15962,1.26211,0.60001,0.49809,0.52473,0.30817,1.74647,1.82026,1.42311,2.99766e-05,2.99766e-05,2.99766e-05
50,236.129,0.83629,0.91262,1.18218,0.60001,0.49809,0.52473,0.30817,1.74647,1.82026,1.42311,3.00238e-05,3.00238e-05,3.00238e-05
51,243.604,0.77722,1.05894,1.1605,0.6007,0.49827,0.52521,0.30722,1.76033,1.86203,1.42833,3.00475e-05,3.00475e-05,3.00475e-05
52,248.918,0.82834,0.89932,1.17309,0.6007,0.49827,0.52521,0.30722,1.76033,1.86203,1.42833,3.00476e-05,3.00476e-05,3.00476e-05
53,254.977,0.6578,0.78431,1.1866,0.6007,0.49827,0.52521,0.30722,1.76033,1.86203,1.42833,3.00242e-05,3.00242e-05,3.00242e-05
54,260.339,0.84082,1.17261,1.24043,0.7675,0.49999,0.5251,0.30909,1.76291,1.90849,1.43651,2.99772e-05,2.99772e-05,2.99772e-05
55,265.007,0.89697,0.78588,1.18888,0.7675,0.49999,0.5251,0.30909,1.76291,1.90849,1.43651,2.99066e-05,2.99066e-05,2.99066e-05
56,270.051,0.79858,1.03654,1.14062,0.7675,0.49999,0.5251,0.30909,1.76291,1.90849,1.43651,2.98125e-05,2.98125e-05,2.98125e-05
57,273.984,0.63254,0.85333,1.06507,0.75596,0.5,0.52018,0.30556,1.75375,1.91826,1.42539,2.96948e-05,2.96948e-05,2.96948e-05
58,277.841,0.69721,0.72376,1.14513,0.75596,0.5,0.52018,0.30556,1.75375,1.91826,1.42539,2.95535e-05,2.95535e-05,2.95535e-05
59,281.807,0.83263,0.98071,1.24072,0.75596,0.5,0.52018,0.30556,1.75375,1.91826,1.42539,2.93887e-05,2.93887e-05,2.93887e-05
60,285.65,1.01621,1.11884,1.41804,0.75553,0.5,0.51768,0.30528,1.78398,1.96117,1.43934,2.92003e-05,2.92003e-05,2.92003e-05
61,289.887,0.62975,0.80332,1.09156,0.75553,0.5,0.51768,0.30528,1.78398,1.96117,1.43934,2.89884e-05,2.89884e-05,2.89884e-05
62,293.515,0.66118,0.72177,1.1262,0.75553,0.5,0.51768,0.30528,1.78398,1.96117,1.43934,2.87529e-05,2.87529e-05,2.87529e-05
63,297.183,1.35605,1.70095,1.77462,0.76427,0.5,0.52118,0.30304,1.75903,2.01289,1.4352,2.84938e-05,2.84938e-05,2.84938e-05
64,300.85,0.79375,0.93389,1.1473,0.76427,0.5,0.52118,0.30304,1.75903,2.01289,1.4352,2.82112e-05,2.82112e-05,2.82112e-05
65,304.45,0.8655,0.72506,1.15127,0.76427,0.5,0.52118,0.30304,1.75903,2.01289,1.4352,2.7905e-05,2.7905e-05,2.7905e-05
66,308.069,0.70323,0.68825,1.15629,0.75597,0.5,0.51877,0.30153,1.80083,2.04047,1.44921,2.75753e-05,2.75753e-05,2.75753e-05
67,311.67,0.68046,0.59754,1.04344,0.75597,0.5,0.51877,0.30153,1.80083,2.04047,1.44921,2.7222e-05,2.7222e-05,2.7222e-05
68,315.298,0.89759,1.02928,1.24472,0.75597,0.5,0.51877,0.30153,1.80083,2.04047,1.44921,2.68451e-05,2.68451e-05,2.68451e-05
69,318.915,0.73415,0.71768,1.15091,0.77087,0.5,0.51846,0.29803,1.80968,2.09503,1.45761,2.64447e-05,2.64447e-05,2.64447e-05
70,323.207,1.08033,1.25878,1.47941,0.77087,0.5,0.51846,0.29803,1.80968,2.09503,1.45761,2.60207e-05,2.60207e-05,2.60207e-05
71,327.694,0.62944,0.66953,1.02454,0.77087,0.5,0.51846,0.29803,1.80968,2.09503,1.45761,2.55731e-05,2.55731e-05,2.55731e-05
72,334.133,0.8062,0.60906,1.03915,0.69543,0.45338,0.47457,0.29763,1.8154,2.17466,1.45877,2.5102e-05,2.5102e-05,2.5102e-05
73,338.22,0.73635,0.84627,1.14031,0.69543,0.45338,0.47457,0.29763,1.8154,2.17466,1.45877,2.46073e-05,2.46073e-05,2.46073e-05
74,344.074,0.78096,0.75995,1.1617,0.69543,0.45338,0.47457,0.29763,1.8154,2.17466,1.45877,2.40891e-05,2.40891e-05,2.40891e-05
75,350.041,0.87955,0.74908,1.33435,0.69989,0.45274,0.47547,0.29211,1.86475,2.3067,1.51574,2.35472e-05,2.35472e-05,2.35472e-05
76,355.487,0.69922,0.67527,1.08233,0.69989,0.45274,0.47547,0.29211,1.86475,2.3067,1.51574,2.29819e-05,2.29819e-05,2.29819e-05
77,359.8,0.68399,0.67492,1.13183,0.69989,0.45274,0.47547,0.29211,1.86475,2.3067,1.51574,2.23929e-05,2.23929e-05,2.23929e-05
78,367.296,0.8926,1.07441,1.26263,0.89751,0.37223,0.46059,0.28547,1.8815,2.26701,1.53362,2.17805e-05,2.17805e-05,2.17805e-05
79,371.982,0.66325,0.67402,1.04752,0.89751,0.37223,0.46059,0.28547,1.8815,2.26701,1.53362,2.11444e-05,2.11444e-05,2.11444e-05
80,375.915,0.63493,0.5872,0.988,0.89751,0.37223,0.46059,0.28547,1.8815,2.26701,1.53362,2.04848e-05,2.04848e-05,2.04848e-05
81,379.814,0.69886,0.8777,1.21512,0.87499,0.38333,0.46128,0.28999,1.8674,2.25488,1.52021,1.98016e-05,1.98016e-05,1.98016e-05
82,384.992,0.62559,0.51043,1.08701,0.87499,0.38333,0.46128,0.28999,1.8674,2.25488,1.52021,1.90949e-05,1.90949e-05,1.90949e-05
83,389.822,0.72846,0.8706,1.1349,0.87499,0.38333,0.46128,0.28999,1.8674,2.25488,1.52021,1.83646e-05,1.83646e-05,1.83646e-05
84,393.948,0.50045,0.54561,1.01348,0.89891,0.37159,0.45875,0.28502,1.86076,2.1784,1.51106,1.76107e-05,1.76107e-05,1.76107e-05
